datetime,open,high,low,close,trend_identified,event
2025-04-02 15:37:25,564.46,564.47,564.44,564.45,1.0,
2025-04-02 15:37:26,564.44,564.44,563.9981,564.37,1.0,
2025-04-02 15:37:27,564.38,564.41,564.38,564.395,1.0,
2025-04-02 15:37:28,564.395,564.395,564.37,564.37,1.0,
2025-04-02 15:37:29,564.3782,564.42,564.2051,564.42,1.0,
2025-04-02 15:37:30,564.425,564.45,564.0662,564.4394,1.0,
2025-04-02 15:37:31,564.42,564.489,564.415,564.475,1.0,
2025-04-02 15:37:32,564.47,564.5,564.46,564.48,1.0,
2025-04-02 15:37:33,564.47,564.5,564.47,564.485,1.0,
2025-04-02 15:37:34,564.485,564.5,563.5872,564.49,1.0,
2025-04-02 15:37:35,564.48,564.4847,564.48,564.4847,1.0,
2025-04-02 15:37:36,564.49,564.51,564.48,564.51,1.0,
2025-04-02 15:37:37,564.52,564.55,564.5086,564.51,1.0,
2025-04-02 15:37:38,564.5346,564.5346,564.49,564.49,1.0,
2025-04-02 15:37:39,564.49,564.51,564.49,564.51,1.0,
2025-04-02 15:37:40,564.5,564.5064,564.420993,564.5,1.0,
2025-04-02 15:37:41,564.5079,564.51,564.45,564.455,1.0,
2025-04-02 15:37:42,564.45,564.45,564.4,564.4105,1.0,
2025-04-02 15:37:43,564.42,564.43,564.41,564.41,1.0,
2025-04-02 15:37:44,564.4102,564.42,564.39,564.405,1.0,
2025-04-02 15:37:45,564.4,564.4088,564.4,564.4,1.0,
2025-04-02 15:37:46,564.41,564.41,564.395,564.41,1.0,
2025-04-02 15:37:47,564.4,564.4,564.0997,564.0997,1.0,
2025-04-02 15:37:48,564.3912,564.4605,564.35,564.35,1.0,
2025-04-02 15:37:49,564.335,564.34,564.33,564.335,1.0,
2025-04-02 15:37:50,564.33,564.33,564.23,564.23,1.0,
2025-04-02 15:37:51,564.235,564.235,564.22,564.22,1.0,
2025-04-02 15:37:52,564.21,564.21,563.6196,564.2,1.0,
2025-04-02 15:37:53,564.2,564.245,564.19,564.245,1.0,
2025-04-02 15:37:54,564.245,564.255,564.23,564.23,1.0,
2025-04-02 15:37:55,564.25,564.31,564.25,564.29,1.0,
2025-04-02 15:37:56,564.275,564.3592,564.26,564.3592,1.0,
2025-04-02 15:37:57,564.285,564.295,564.285,564.295,1.0,
2025-04-02 15:37:58,564.3025,564.33,564.3,564.31,1.0,
